Gene,p_val,avg_logFC,pct.1,pct.2,p_val_adj,brain_region,Subclass,Class,Comparison,CCA,RCCA,RTSS,Count,avg_FC
Spint2,1.93E-85,0.293276415,0.96,0.589,6.81E-81,ALM,L5 IT vs L6 CT,Glut,Glut ALM L5 IT vs L6 CT,,1,,1,1.34081336
Spr,4.87E-93,-0.250220022,0.889,0.989,1.71E-88,ALM,L5 IT vs L6 CT,Glut,Glut ALM L5 IT vs L6 CT,,,1,1,0.778629449
Stx1a,5.19E-154,0.565619315,1,1,1.83E-149,ALM,L5 IT vs L6 CT,Glut,Glut ALM L5 IT vs L6 CT,,,1,1,1.760537773
Stxbp1,2.22E-50,0.263870719,1,1,7.80E-46,ALM,L5 IT vs L6 CT,Glut,Glut ALM L5 IT vs L6 CT,1,,1,1,1.301959867
Syn1,6.65E-45,0.261686185,1,1,2.34E-40,ALM,L5 IT vs L6 CT,Glut,Glut ALM L5 IT vs L6 CT,,,1,1,1.299118795
Syp,7.04E-41,0.276731455,1,1,2.48E-36,ALM,L5 IT vs L6 CT,Glut,Glut ALM L5 IT vs L6 CT,,,1,1,1.318812163
Syt12,2.79E-46,-0.268781489,0.772,0.903,9.84E-42,ALM,L5 IT vs L6 CT,Glut,Glut ALM L5 IT vs L6 CT,,,1,1,0.764310248
Syt4,1.22E-154,0.670342248,1,1,4.30E-150,ALM,L5 IT vs L6 CT,Glut,Glut ALM L5 IT vs L6 CT,,,1,1,1.954906269
Tenm2,4.01E-100,0.250803202,0.997,0.854,1.41E-95,ALM,L5 IT vs L6 CT,Glut,Glut ALM L5 IT vs L6 CT,1,,,1,1.285057163
Tenm4,1.51E-128,0.395499207,0.996,0.706,5.31E-124,ALM,L5 IT vs L6 CT,Glut,Glut ALM L5 IT vs L6 CT,1,,,1,1.485125391
Tnfrsf21,2.97E-82,-0.399007247,0.897,0.983,1.05E-77,ALM,L5 IT vs L6 CT,Glut,Glut ALM L5 IT vs L6 CT,,1,,1,0.670985839
Ttyh1,7.96E-84,0.33992449,1,0.991,2.80E-79,ALM,L5 IT vs L6 CT,Glut,Glut ALM L5 IT vs L6 CT,1,,,1,1.404841507
Unc5d,3.27E-160,0.263568361,0.892,0.026,1.15E-155,ALM,L5 IT vs L6 CT,Glut,Glut ALM L5 IT vs L6 CT,1,,,1,1.301566268
Usp46,6.67E-30,-0.267378537,0.989,1,2.35E-25,ALM,L5 IT vs L6 CT,Glut,Glut ALM L5 IT vs L6 CT,,,1,1,0.765383291
Vstm2l,1.57E-199,0.666654323,0.999,0.306,5.53E-195,ALM,L5 IT vs L6 CT,Glut,Glut ALM L5 IT vs L6 CT,1,,,1,1.947709999
Wnt4,1.63E-161,0.39067882,0.932,0.129,5.74E-157,ALM,L5 IT vs L6 CT,Glut,Glut ALM L5 IT vs L6 CT,,1,,1,1.477983738
Zdhhc2,4.94E-51,0.348191292,0.998,0.94,1.74E-46,ALM,L5 IT vs L6 CT,Glut,Glut ALM L5 IT vs L6 CT,,1,1,1,1.41650319
Abat,4.00E-61,0.377097339,0.995,0.703,1.41E-56,ALM,L5 PT vs L6 CT,Glut,Glut ALM L5 PT vs L6 CT,,1,,1,1.458046227
Abr,4.92E-49,0.331960696,1,0.983,1.73E-44,ALM,L5 PT vs L6 CT,Glut,Glut ALM L5 PT vs L6 CT,,,1,1,1.39369807
Adcy1,3.67E-43,-0.408965684,1,1,1.29E-38,ALM,L5 PT vs L6 CT,Glut,Glut ALM L5 PT vs L6 CT,,,1,1,0.664337029
Adcyap1,3.56E-131,0.978824063,0.995,0.034,1.25E-126,ALM,L5 PT vs L6 CT,Glut,Glut ALM L5 PT vs L6 CT,,,1,1,2.661324851
Adora1,2.19E-68,-0.504962333,0.984,0.997,7.72E-64,ALM,L5 PT vs L6 CT,Glut,Glut ALM L5 PT vs L6 CT,,,1,1,0.603528308
Alcam,1.61E-13,0.301621143,0.853,0.877,5.66E-09,ALM,L5 PT vs L6 CT,Glut,Glut ALM L5 PT vs L6 CT,1,,,1,1.352048896
Arc,1.64E-59,-0.849733781,0.739,0.943,5.78E-55,ALM,L5 PT vs L6 CT,Glut,Glut ALM L5 PT vs L6 CT,,,1,1,0.427528733
Atp2a2,1.60E-34,0.296576675,1,1,5.63E-30,ALM,L5 PT vs L6 CT,Glut,Glut ALM L5 PT vs L6 CT,,,1,1,1.345245703
Baiap2,1.23E-92,-0.671171331,1,1,4.34E-88,ALM,L5 PT vs L6 CT,Glut,Glut ALM L5 PT vs L6 CT,,,1,1,0.511109549
Bcl2,2.90E-39,-0.267146221,0.595,0.846,1.02E-34,ALM,L5 PT vs L6 CT,Glut,Glut ALM L5 PT vs L6 CT,1,,,1,0.765561122
Bcl6,4.65E-130,0.370995146,0.984,0.006,1.64E-125,ALM,L5 PT vs L6 CT,Glut,Glut ALM L5 PT vs L6 CT,,1,,1,1.449176039
Bdnf,1.25E-42,0.368600382,0.891,0.451,4.41E-38,ALM,L5 PT vs L6 CT,Glut,Glut ALM L5 PT vs L6 CT,,,1,1,1.445709757
Cadm1,6.27E-42,-0.418480986,0.989,0.997,2.21E-37,ALM,L5 PT vs L6 CT,Glut,Glut ALM L5 PT vs L6 CT,1,,,1,0.658045642
Cd200,9.48E-45,-0.443265063,0.981,0.997,3.34E-40,ALM,L5 PT vs L6 CT,Glut,Glut ALM L5 PT vs L6 CT,1,,,1,0.641937031
Cd47,6.19E-91,-0.614602631,1,1,2.18E-86,ALM,L5 PT vs L6 CT,Glut,Glut ALM L5 PT vs L6 CT,1,1,,1,0.540855772
Cdh13,4.08E-67,0.812530527,0.924,0.471,1.44E-62,ALM,L5 PT vs L6 CT,Glut,Glut ALM L5 PT vs L6 CT,1,,,1,2.253603582
Cdh22,1.13E-86,0.272796209,0.957,0.243,3.96E-82,ALM,L5 PT vs L6 CT,Glut,Glut ALM L5 PT vs L6 CT,1,,,1,1.313632511
Cdh8,5.57E-89,0.47868716,0.992,0.374,1.96E-84,ALM,L5 PT vs L6 CT,Glut,Glut ALM L5 PT vs L6 CT,1,,,1,1.613954147
Cdh9,4.78E-81,-0.497095942,0.342,0.92,1.68E-76,ALM,L5 PT vs L6 CT,Glut,Glut ALM L5 PT vs L6 CT,1,,,1,0.60829462
Cdk5,2.36E-47,0.263811739,1,1,8.32E-43,ALM,L5 PT vs L6 CT,Glut,Glut ALM L5 PT vs L6 CT,,,1,1,1.301883079
Cdk5r1,1.66E-71,0.485053842,1,0.991,5.83E-67,ALM,L5 PT vs L6 CT,Glut,Glut ALM L5 PT vs L6 CT,1,,,1,1.62426246
Celf4,3.62E-66,-0.479044294,1,1,1.28E-61,ALM,L5 PT vs L6 CT,Glut,Glut ALM L5 PT vs L6 CT,,,1,1,0.619375049
Chrna5,8.68E-78,-0.514796807,0.09,0.76,3.06E-73,ALM,L5 PT vs L6 CT,Glut,Glut ALM L5 PT vs L6 CT,,,1,1,0.597622015
Cnr1,1.78E-103,0.800175771,1,0.671,6.27E-99,ALM,L5 PT vs L6 CT,Glut,Glut ALM L5 PT vs L6 CT,1,,1,1,2.225932148
Cplx1,4.06E-50,0.544476254,1,1,1.43E-45,ALM,L5 PT vs L6 CT,Glut,Glut ALM L5 PT vs L6 CT,,,1,1,1.723705362
Cplx2,1.58E-60,-0.501335537,0.997,1,5.56E-56,ALM,L5 PT vs L6 CT,Glut,Glut ALM L5 PT vs L6 CT,,,1,1,0.605721156
Cx3cl1,3.97E-42,-0.503637764,1,1,1.40E-37,ALM,L5 PT vs L6 CT,Glut,Glut ALM L5 PT vs L6 CT,1,1,,1,0.604328253
Dab1,4.49E-33,0.265539264,1,0.931,1.58E-28,ALM,L5 PT vs L6 CT,Glut,Glut ALM L5 PT vs L6 CT,1,,,1,1.304134059
Dbi,1.37E-39,0.258059857,1,1,4.82E-35,ALM,L5 PT vs L6 CT,Glut,Glut ALM L5 PT vs L6 CT,,,1,1,1.294416296
Dgkb,1.23E-84,0.489896915,0.995,0.509,4.35E-80,ALM,L5 PT vs L6 CT,Glut,Glut ALM L5 PT vs L6 CT,,,1,1,1.632147961
Dmtn,5.97E-33,-0.282314703,1,1,2.10E-28,ALM,L5 PT vs L6 CT,Glut,Glut ALM L5 PT vs L6 CT,,1,,1,0.75403635
Dnajb6,1.16E-71,-0.264975753,1,1,4.09E-67,ALM,L5 PT vs L6 CT,Glut,Glut ALM L5 PT vs L6 CT,1,,,1,0.767224553
Dnm1,5.86E-22,-0.285171713,1,1,2.06E-17,ALM,L5 PT vs L6 CT,Glut,Glut ALM L5 PT vs L6 CT,,,1,1,0.751885135
Dtnbp1,1.91E-79,0.515653911,1,0.957,6.72E-75,ALM,L5 PT vs L6 CT,Glut,Glut ALM L5 PT vs L6 CT,,,1,1,1.67473327
Efnb2,8.40E-85,0.308616609,0.976,0.377,2.96E-80,ALM,L5 PT vs L6 CT,Glut,Glut ALM L5 PT vs L6 CT,,1,,1,1.361540268
Efr3a,1.41E-31,0.372029639,1,1,4.97E-27,ALM,L5 PT vs L6 CT,Glut,Glut ALM L5 PT vs L6 CT,1,,,1,1.450675977
Egr1,3.03E-62,-0.889683936,0.984,0.994,1.07E-57,ALM,L5 PT vs L6 CT,Glut,Glut ALM L5 PT vs L6 CT,,,1,1,0.410785567
Ephb6,1.54E-32,-0.404885872,0.992,0.989,5.44E-28,ALM,L5 PT vs L6 CT,Glut,Glut ALM L5 PT vs L6 CT,,1,,1,0.667052936
Fez1,3.46E-31,-0.254001895,1,1,1.22E-26,ALM,L5 PT vs L6 CT,Glut,Glut ALM L5 PT vs L6 CT,,,1,1,0.775690332
Fut9,1.04E-77,-0.716189352,0.997,1,3.66E-73,ALM,L5 PT vs L6 CT,Glut,Glut ALM L5 PT vs L6 CT,,1,,1,0.488610636
Glul,2.66E-49,-0.294452673,0.924,0.994,9.35E-45,ALM,L5 PT vs L6 CT,Glut,Glut ALM L5 PT vs L6 CT,,,1,1,0.744939201
Gnas,3.37E-69,-0.366967122,1,1,1.19E-64,ALM,L5 PT vs L6 CT,Glut,Glut ALM L5 PT vs L6 CT,1,,,1,0.692832424
Gria1,1.48E-27,0.25567219,1,0.991,5.22E-23,ALM,L5 PT vs L6 CT,Glut,Glut ALM L5 PT vs L6 CT,,,1,1,1.291329348
Gria2,1.89E-37,0.286220839,1,1,6.66E-33,ALM,L5 PT vs L6 CT,Glut,Glut ALM L5 PT vs L6 CT,,,1,1,1.331386445
Gria4,5.26E-34,-0.30233442,0.872,0.937,1.85E-29,ALM,L5 PT vs L6 CT,Glut,Glut ALM L5 PT vs L6 CT,,,1,1,0.739090857
Grik3,4.85E-42,-0.26697177,0.807,0.966,1.71E-37,ALM,L5 PT vs L6 CT,Glut,Glut ALM L5 PT vs L6 CT,,,1,1,0.765694687
Grm5,1.27E-105,0.857834779,1,0.969,4.48E-101,ALM,L5 PT vs L6 CT,Glut,Glut ALM L5 PT vs L6 CT,,,1,1,2.358049464
Gucy1a3,6.83E-108,0.573005199,0.954,0.146,2.41E-103,ALM,L5 PT vs L6 CT,Glut,Glut ALM L5 PT vs L6 CT,,,1,1,1.773589039
Gucy1b3,2.78E-81,0.498146858,1,0.949,9.78E-77,ALM,L5 PT vs L6 CT,Glut,Glut ALM L5 PT vs L6 CT,,,1,1,1.645668785
H2-T23,1.90E-82,-0.869488779,0.679,0.943,6.70E-78,ALM,L5 PT vs L6 CT,Glut,Glut ALM L5 PT vs L6 CT,,1,,1,0.419165781
Hnrnpk,2.17E-58,-0.36818213,1,1,7.64E-54,ALM,L5 PT vs L6 CT,Glut,Glut ALM L5 PT vs L6 CT,,,1,1,0.691991138
Homer1,1.51E-29,0.293675536,1,0.997,5.31E-25,ALM,L5 PT vs L6 CT,Glut,Glut ALM L5 PT vs L6 CT,,,1,1,1.341348614
Hsph1,1.91E-54,-0.445970133,1,1,6.72E-50,ALM,L5 PT vs L6 CT,Glut,Glut ALM L5 PT vs L6 CT,,1,,1,0.640202893
Icam5,4.47E-32,-0.321976541,1,0.991,1.58E-27,ALM,L5 PT vs L6 CT,Glut,Glut ALM L5 PT vs L6 CT,1,,,1,0.724715191
Igsf21,2.70E-38,-0.374777781,1,0.991,9.50E-34,ALM,L5 PT vs L6 CT,Glut,Glut ALM L5 PT vs L6 CT,1,,,1,0.687442024
Itgav,1.21E-42,0.285413359,0.984,0.703,4.27E-38,ALM,L5 PT vs L6 CT,Glut,Glut ALM L5 PT vs L6 CT,1,,,1,1.330311811
Jup,4.41E-75,-0.434056124,0.636,0.971,1.55E-70,ALM,L5 PT vs L6 CT,Glut,Glut ALM L5 PT vs L6 CT,1,,,1,0.647875893
Kcnn2,1.18E-82,0.508799402,1,0.891,4.15E-78,ALM,L5 PT vs L6 CT,Glut,Glut ALM L5 PT vs L6 CT,,,1,1,1.663293049
Kctd13,1.06E-37,-0.295381634,0.997,1,3.73E-33,ALM,L5 PT vs L6 CT,Glut,Glut ALM L5 PT vs L6 CT,,,1,1,0.744247503
Lrrtm1,9.20E-59,0.258423166,0.986,0.514,3.24E-54,ALM,L5 PT vs L6 CT,Glut,Glut ALM L5 PT vs L6 CT,,,1,1,1.294886655
Lrrtm2,9.26E-39,-0.404692125,0.997,0.991,3.26E-34,ALM,L5 PT vs L6 CT,Glut,Glut ALM L5 PT vs L6 CT,,,1,1,0.667182188
Magi2,2.87E-35,-0.299586624,1,0.997,1.01E-30,ALM,L5 PT vs L6 CT,Glut,Glut ALM L5 PT vs L6 CT,,1,,1,0.74112452
Map1a,6.70E-55,0.386867943,1,0.991,2.36E-50,ALM,L5 PT vs L6 CT,Glut,Glut ALM L5 PT vs L6 CT,,,1,1,1.472362043
Map2k1,9.70E-42,-0.357991493,1,1,3.42E-37,ALM,L5 PT vs L6 CT,Glut,Glut ALM L5 PT vs L6 CT,,1,,1,0.699079022
Mapk1,8.16E-47,-0.293722419,1,1,2.88E-42,ALM,L5 PT vs L6 CT,Glut,Glut ALM L5 PT vs L6 CT,,,1,1,0.745483395
Mctp1,1.22E-34,-0.34632873,0.932,0.983,4.31E-30,ALM,L5 PT vs L6 CT,Glut,Glut ALM L5 PT vs L6 CT,,,1,1,0.707279945
Mef2c,1.64E-64,0.434905396,1,1,5.76E-60,ALM,L5 PT vs L6 CT,Glut,Glut ALM L5 PT vs L6 CT,,,1,1,1.544816906
Mgll,2.47E-72,-0.460822037,0.948,0.991,8.68E-68,ALM,L5 PT vs L6 CT,Glut,Glut ALM L5 PT vs L6 CT,,,1,1,0.63076492
Neto1,2.02E-20,0.256476058,1,0.994,7.10E-16,ALM,L5 PT vs L6 CT,Glut,Glut ALM L5 PT vs L6 CT,,,1,1,1.292367824
Nlgn1,4.86E-62,0.407748113,1,0.957,1.71E-57,ALM,L5 PT vs L6 CT,Glut,Glut ALM L5 PT vs L6 CT,1,,1,1,1.503428419
Npnt,3.37E-28,0.268886879,0.557,0.226,1.19E-23,ALM,L5 PT vs L6 CT,Glut,Glut ALM L5 PT vs L6 CT,1,,,1,1.308507113
Nr3c2,7.92E-92,0.266230068,0.989,0.477,2.79E-87,ALM,L5 PT vs L6 CT,Glut,Glut ALM L5 PT vs L6 CT,,,1,1,1.305035271
Nrcam,1.03E-63,0.454819048,1,1,3.62E-59,ALM,L5 PT vs L6 CT,Glut,Glut ALM L5 PT vs L6 CT,1,,,1,1.575888197
Nrxn3,3.79E-29,0.272118188,1,1,1.33E-24,ALM,L5 PT vs L6 CT,Glut,Glut ALM L5 PT vs L6 CT,,,1,1,1.312742143
Nsmf,1.36E-33,-0.381899343,1,0.986,4.80E-29,ALM,L5 PT vs L6 CT,Glut,Glut ALM L5 PT vs L6 CT,,,1,1,0.682563755
Ntng1,8.27E-124,0.369945281,0.989,0.034,2.91E-119,ALM,L5 PT vs L6 CT,Glut,Glut ALM L5 PT vs L6 CT,1,,1,1,1.447655398
Paip2,2.43E-41,-0.296286183,0.997,1,8.56E-37,ALM,L5 PT vs L6 CT,Glut,Glut ALM L5 PT vs L6 CT,,,1,1,0.743574599
Pcdh17,1.54E-45,0.403685998,1,0.963,5.41E-41,ALM,L5 PT vs L6 CT,Glut,Glut ALM L5 PT vs L6 CT,1,,1,1,1.497333707
Pcdh8,1.90E-88,0.276990911,0.777,0.029,6.70E-84,ALM,L5 PT vs L6 CT,Glut,Glut ALM L5 PT vs L6 CT,1,1,1,1,1.319154381
Pik3r1,1.22E-41,-0.408557933,1,0.997,4.28E-37,ALM,L5 PT vs L6 CT,Glut,Glut ALM L5 PT vs L6 CT,,1,,1,0.664607969
Pip5k1c,7.98E-33,-0.321194609,0.992,0.994,2.81E-28,ALM,L5 PT vs L6 CT,Glut,Glut ALM L5 PT vs L6 CT,1,,,1,0.725282091
Plcb4,5.60E-31,-0.335027996,0.973,0.986,1.97E-26,ALM,L5 PT vs L6 CT,Glut,Glut ALM L5 PT vs L6 CT,,,1,1,0.71531806
Pnkd,1.53E-37,0.300263883,1,0.997,5.38E-33,ALM,L5 PT vs L6 CT,Glut,Glut ALM L5 PT vs L6 CT,,,1,1,1.350215059
Pnn,6.13E-39,-0.29076444,0.995,0.994,2.16E-34,ALM,L5 PT vs L6 CT,Glut,Glut ALM L5 PT vs L6 CT,1,,,1,0.747691784
Podxl2,8.56E-61,-0.401389029,0.986,0.994,3.02E-56,ALM,L5 PT vs L6 CT,Glut,Glut ALM L5 PT vs L6 CT,1,,,1,0.669389598
Ppfia2,5.21E-75,0.451006698,1,0.903,1.84E-70,ALM,L5 PT vs L6 CT,Glut,Glut ALM L5 PT vs L6 CT,,,1,1,1.569891797
Ppia,1.89E-65,0.398171659,1,1,6.66E-61,ALM,L5 PT vs L6 CT,Glut,Glut ALM L5 PT vs L6 CT,1,,,1,1.489099625
Ppp3ca,3.39E-64,-0.499308495,1,1,1.19E-59,ALM,L5 PT vs L6 CT,Glut,Glut ALM L5 PT vs L6 CT,,,1,1,0.606950224
Ppp3r1,7.80E-85,-0.554350658,1,1,2.75E-80,ALM,L5 PT vs L6 CT,Glut,Glut ALM L5 PT vs L6 CT,,,1,1,0.574445151
Prdx2,7.74E-87,0.44310908,1,1,2.72E-82,ALM,L5 PT vs L6 CT,Glut,Glut ALM L5 PT vs L6 CT,,1,,1,1.557542222
Prepl,6.98E-65,0.455136889,1,1,2.46E-60,ALM,L5 PT vs L6 CT,Glut,Glut ALM L5 PT vs L6 CT,,,1,1,1.576389159
Prkar2b,2.49E-68,-0.518503789,0.965,0.986,8.77E-64,ALM,L5 PT vs L6 CT,Glut,Glut ALM L5 PT vs L6 CT,,,1,1,0.595410742
Prkca,1.40E-35,0.267807507,0.957,0.76,4.94E-31,ALM,L5 PT vs L6 CT,Glut,Glut ALM L5 PT vs L6 CT,,1,1,1,1.307095509
Prkcb,1.55E-18,-0.257135277,1,1,5.46E-14,ALM,L5 PT vs L6 CT,Glut,Glut ALM L5 PT vs L6 CT,,,1,1,0.773263602
Prkce,4.27E-37,0.306793213,1,1,1.50E-32,ALM,L5 PT vs L6 CT,Glut,Glut ALM L5 PT vs L6 CT,,,1,1,1.359059903
Prkcg,3.35E-40,0.350216297,1,0.997,1.18E-35,ALM,L5 PT vs L6 CT,Glut,Glut ALM L5 PT vs L6 CT,,,1,1,1.419374522
Prkcz,6.65E-33,-0.275678572,0.995,0.997,2.34E-28,ALM,L5 PT vs L6 CT,Glut,Glut ALM L5 PT vs L6 CT,,1,1,1,0.759056874
Prnp,1.05E-57,-0.452789971,1,1,3.71E-53,ALM,L5 PT vs L6 CT,Glut,Glut ALM L5 PT vs L6 CT,,1,1,1,0.635851667
Prrt2,2.26E-78,-0.587129826,1,1,7.96E-74,ALM,L5 PT vs L6 CT,Glut,Glut ALM L5 PT vs L6 CT,,,1,1,0.555920586
Ptk2,6.52E-49,-0.467071854,1,1,2.29E-44,ALM,L5 PT vs L6 CT,Glut,Glut ALM L5 PT vs L6 CT,,1,1,1,0.626835048
Ptn,6.01E-93,1.080128188,1,0.949,2.12E-88,ALM,L5 PT vs L6 CT,Glut,Glut ALM L5 PT vs L6 CT,,,1,1,2.945057048
Ptprf,5.31E-67,0.303885081,0.995,0.674,1.87E-62,ALM,L5 PT vs L6 CT,Glut,Glut ALM L5 PT vs L6 CT,1,,,1,1.355113319
Ptprs,1.21E-101,0.620183755,1,1,4.24E-97,ALM,L5 PT vs L6 CT,Glut,Glut ALM L5 PT vs L6 CT,1,,1,1,1.859269661
Rac1,9.28E-68,-0.393204512,1,1,3.27E-63,ALM,L5 PT vs L6 CT,Glut,Glut ALM L5 PT vs L6 CT,,,1,1,0.67489071
Rap1b,2.65E-42,-0.362458988,0.989,1,9.33E-38,ALM,L5 PT vs L6 CT,Glut,Glut ALM L5 PT vs L6 CT,,,1,1,0.695962856
Rapgef4,1.00E-35,-0.391892966,1,0.997,3.53E-31,ALM,L5 PT vs L6 CT,Glut,Glut ALM L5 PT vs L6 CT,,,1,1,0.675776441
Rasgrf1,6.67E-107,0.953657023,1,0.9,2.35E-102,ALM,L5 PT vs L6 CT,Glut,Glut ALM L5 PT vs L6 CT,,,1,1,2.595182971
Reln,9.31E-81,0.364833378,0.75,0.049,3.28E-76,ALM,L5 PT vs L6 CT,Glut,Glut ALM L5 PT vs L6 CT,,,1,1,1.440274007
Rgs4,2.64E-23,0.306988143,1,1,9.29E-19,ALM,L5 PT vs L6 CT,Glut,Glut ALM L5 PT vs L6 CT,,,1,1,1.35932485
Rims2,1.98E-25,-0.250599576,1,1,6.98E-21,ALM,L5 PT vs L6 CT,Glut,Glut ALM L5 PT vs L6 CT,,,1,1,0.778333973
Robo1,7.55E-89,0.284621378,0.97,0.286,2.66E-84,ALM,L5 PT vs L6 CT,Glut,Glut ALM L5 PT vs L6 CT,1,,,1,1.329258646
Robo2,3.98E-76,0.446182689,1,0.74,1.40E-71,ALM,L5 PT vs L6 CT,Glut,Glut ALM L5 PT vs L6 CT,1,,,1,1.562336862
S100b,9.59E-129,1.582931019,1,0.123,3.38E-124,ALM,L5 PT vs L6 CT,Glut,Glut ALM L5 PT vs L6 CT,,,1,1,4.869206654
Serpinb8,1.53E-28,-0.365044611,0.576,0.746,5.39E-24,ALM,L5 PT vs L6 CT,Glut,Glut ALM L5 PT vs L6 CT,1,,,1,0.694165683
Serpine2,6.08E-131,1.598526085,1,0.069,2.14E-126,ALM,L5 PT vs L6 CT,Glut,Glut ALM L5 PT vs L6 CT,,1,1,1,4.945737453
Sh3gl1,1.82E-45,-0.314525432,0.777,0.909,6.42E-41,ALM,L5 PT vs L6 CT,Glut,Glut ALM L5 PT vs L6 CT,,,1,1,0.730135291
Slc24a2,2.19E-26,-0.364540435,0.935,1,7.70E-22,ALM,L5 PT vs L6 CT,Glut,Glut ALM L5 PT vs L6 CT,,,1,1,0.694515753
Snca,1.13E-61,-0.631704639,1,1,3.99E-57,ALM,L5 PT vs L6 CT,Glut,Glut ALM L5 PT vs L6 CT,,,1,1,0.531684698
Sqstm1,6.22E-101,-0.7568964,1,1,2.19E-96,ALM,L5 PT vs L6 CT,Glut,Glut ALM L5 PT vs L6 CT,,,1,1,0.469120131
Stx1a,1.42E-96,-0.762807398,1,1,5.01E-92,ALM,L5 PT vs L6 CT,Glut,Glut ALM L5 PT vs L6 CT,,,1,1,0.466355342
Stxbp1,1.07E-51,-0.404316198,1,1,3.77E-47,ALM,L5 PT vs L6 CT,Glut,Glut ALM L5 PT vs L6 CT,1,,1,1,0.667433047
Syne1,9.80E-46,0.417042278,1,0.994,3.45E-41,ALM,L5 PT vs L6 CT,Glut,Glut ALM L5 PT vs L6 CT,,,1,1,1.517466667
Syp,1.06E-45,-0.425996042,1,1,3.73E-41,ALM,L5 PT vs L6 CT,Glut,Glut ALM L5 PT vs L6 CT,,,1,1,0.653118927
Syt12,1.92E-25,-0.266030677,0.878,0.903,6.76E-21,ALM,L5 PT vs L6 CT,Glut,Glut ALM L5 PT vs L6 CT,,,1,1,0.766415616
Syt4,4.41E-85,0.59518781,1,1,1.55E-80,ALM,L5 PT vs L6 CT,Glut,Glut ALM L5 PT vs L6 CT,,,1,1,1.813371482
Tenm1,3.49E-40,-0.32175824,0.899,0.989,1.23E-35,ALM,L5 PT vs L6 CT,Glut,Glut ALM L5 PT vs L6 CT,1,,,1,0.724873415
Thy1,1.44E-53,0.434039804,1,1,5.06E-49,ALM,L5 PT vs L6 CT,Glut,Glut ALM L5 PT vs L6 CT,1,1,,1,1.543480304
Tmem47,1.33E-77,0.457493833,0.938,0.326,4.69E-73,ALM,L5 PT vs L6 CT,Glut,Glut ALM L5 PT vs L6 CT,1,,,1,1.580109002
Tnr,3.13E-31,0.254213836,0.995,0.837,1.10E-26,ALM,L5 PT vs L6 CT,Glut,Glut ALM L5 PT vs L6 CT,1,1,1,1,1.289447505
Tprgl,1.15E-66,-0.533337248,1,1,4.06E-62,ALM,L5 PT vs L6 CT,Glut,Glut ALM L5 PT vs L6 CT,,,1,1,0.586643923
Tyro3,1.14E-24,-0.254941804,0.989,0.98,4.03E-20,ALM,L5 PT vs L6 CT,Glut,Glut ALM L5 PT vs L6 CT,1,,,1,0.774961596
Usp46,1.16E-33,-0.368828296,0.997,1,4.10E-29,ALM,L5 PT vs L6 CT,Glut,Glut ALM L5 PT vs L6 CT,,,1,1,0.691544141
Vamp2,5.17E-72,-0.480065772,1,1,1.82E-67,ALM,L5 PT vs L6 CT,Glut,Glut ALM L5 PT vs L6 CT,,,1,1,0.618742695
Vgf,1.03E-38,0.389190796,1,0.977,3.64E-34,ALM,L5 PT vs L6 CT,Glut,Glut ALM L5 PT vs L6 CT,,,1,1,1.475786099
Vstm2l,4.38E-115,0.425127913,0.992,0.306,1.54E-110,ALM,L5 PT vs L6 CT,Glut,Glut ALM L5 PT vs L6 CT,1,,,1,1.529786087
Xbp1,2.28E-80,-0.599882256,0.995,1,8.03E-76,ALM,L5 PT vs L6 CT,Glut,Glut ALM L5 PT vs L6 CT,,1,,1,0.548876259
Ywhag,2.84E-44,0.37749732,1,1,9.99E-40,ALM,L5 PT vs L6 CT,Glut,Glut ALM L5 PT vs L6 CT,,,1,1,1.458629535
Adk,1.29E-77,0.384184835,1,0.83,4.55E-73,ALM vs VISp,L2/3 IT,Glut,Glut ALM vs VISp L2/3 IT,,1,,1,1.468416831
Alcam,5.65E-37,0.297408233,1,0.978,1.99E-32,ALM vs VISp,L2/3 IT,Glut,Glut ALM vs VISp L2/3 IT,1,,,1,1.346364818
Bdnf,2.71E-14,-0.628723187,0.923,0.892,9.54E-10,ALM vs VISp,L2/3 IT,Glut,Glut ALM vs VISp L2/3 IT,,,1,1,0.533272255
Cadm1,9.21E-98,-0.505516712,1,1,3.24E-93,ALM vs VISp,L2/3 IT,Glut,Glut ALM vs VISp L2/3 IT,1,,,1,0.603193817
Camk2d,8.90E-22,-0.279811244,0.96,0.997,3.14E-17,ALM vs VISp,L2/3 IT,Glut,Glut ALM vs VISp L2/3 IT,,,1,1,0.755926414
Dgkb,6.42E-32,0.32730611,1,0.987,2.26E-27,ALM vs VISp,L2/3 IT,Glut,Glut ALM vs VISp L2/3 IT,,,1,1,1.387226056
Dlg1,2.58E-21,-0.296853796,1,0.999,9.08E-17,ALM vs VISp,L2/3 IT,Glut,Glut ALM vs VISp L2/3 IT,1,1,,1,0.743152656
Dtnbp1,4.63E-47,0.31055572,1,0.985,1.63E-42,ALM vs VISp,L2/3 IT,Glut,Glut ALM vs VISp L2/3 IT,,,1,1,1.364183007
Egr1,1.37E-09,-0.42856797,0.988,0.983,0.0000481,ALM vs VISp,L2/3 IT,Glut,Glut ALM vs VISp L2/3 IT,,,1,1,0.651441311
Egr3,2.14E-18,-0.344692956,0.991,0.986,7.54E-14,ALM vs VISp,L2/3 IT,Glut,Glut ALM vs VISp L2/3 IT,,1,,1,0.708437842
