Gene,p_val,avg_logFC,pct.1,pct.2,p_val_adj,brain_region,Subclass,Class,Comparison,Count,CCA,RCCA,RTSS,,,GO Cell-Cell Adhesion,GO Regulation of Cell-Cell Adhesion,GO Regulation of trans-synaptic signaling
Xbp1,2.30E-111,0.445842495,1,0.995,8.09E-107,ALM,L5 IT vs L5 PT,Glut,Glut ALM L5 IT vs L5 PT,1,,1,,,,,,
Xist,1.10E-160,-0.315366707,0.179,0.872,3.87E-156,ALM,L5 IT vs L5 PT,Glut,Glut ALM L5 IT vs L5 PT,1,,,,,,,,
Yaf2,4.69E-111,0.33415088,1,1,1.65E-106,ALM,L5 IT vs L5 PT,Glut,Glut ALM L5 IT vs L5 PT,1,,,,,,,,
Ypel1,2.64E-75,0.293999111,0.933,0.785,9.29E-71,ALM,L5 IT vs L5 PT,Glut,Glut ALM L5 IT vs L5 PT,1,,,,,,,,
Ypel5,3.21E-85,-0.33971742,1,1,1.13E-80,ALM,L5 IT vs L5 PT,Glut,Glut ALM L5 IT vs L5 PT,1,,,,,,,,
Ywhab,3.63E-105,0.264090187,1,1,1.28E-100,ALM,L5 IT vs L5 PT,Glut,Glut ALM L5 IT vs L5 PT,1,,,,,,,,
Ywhag,5.40E-68,-0.318025075,1,1,1.90E-63,ALM,L5 IT vs L5 PT,Glut,Glut ALM L5 IT vs L5 PT,1,,,1,,,,,
Ywhah,1.94E-193,0.539134189,1,1,6.85E-189,ALM,L5 IT vs L5 PT,Glut,Glut ALM L5 IT vs L5 PT,1,,,,,,,,
Zbtb18,4.75E-62,-0.287191574,1,1,1.67E-57,ALM,L5 IT vs L5 PT,Glut,Glut ALM L5 IT vs L5 PT,1,,,,,,,,
Zc3h14,2.46E-97,0.351569415,0.995,0.932,8.66E-93,ALM,L5 IT vs L5 PT,Glut,Glut ALM L5 IT vs L5 PT,1,,,,,,,,
Zcchc18,1.50E-102,0.403060638,1,1,5.28E-98,ALM,L5 IT vs L5 PT,Glut,Glut ALM L5 IT vs L5 PT,1,,,,,,,,
Zdhhc22,1.13E-205,0.652853007,0.993,0.125,3.99E-201,ALM,L5 IT vs L5 PT,Glut,Glut ALM L5 IT vs L5 PT,1,,,,,,,,
Zfp941,1.66E-170,0.563196036,0.948,0.223,5.86E-166,ALM,L5 IT vs L5 PT,Glut,Glut ALM L5 IT vs L5 PT,1,,,,,,,,
Zmynd11,2.10E-81,0.264398628,0.999,1,7.41E-77,ALM,L5 IT vs L5 PT,Glut,Glut ALM L5 IT vs L5 PT,1,,,,,,,,
Zwint,4.24E-128,0.528251194,1,1,1.49E-123,ALM,L5 IT vs L5 PT,Glut,Glut ALM L5 IT vs L5 PT,1,,,,,,,,
Zyg11b,7.56E-74,-0.310039921,0.994,1,2.66E-69,ALM,L5 IT vs L5 PT,Glut,Glut ALM L5 IT vs L5 PT,1,,,,,,,,
1110032F04Rik,2.10E-55,-0.267980913,0.716,0.914,7.41E-51,ALM,L5 IT vs L6 CT,Glut,Glut ALM L5 IT vs L6 CT,1,,,,,,,,
1190002N15Rik,7.44E-101,0.277366311,0.8,0.157,2.62E-96,ALM,L5 IT vs L6 CT,Glut,Glut ALM L5 IT vs L6 CT,1,,,,,,,,
1500009L16Rik,2.53E-111,0.377963123,0.947,0.463,8.89E-107,ALM,L5 IT vs L6 CT,Glut,Glut ALM L5 IT vs L6 CT,1,,,,,,,,
1700019D03Rik,8.35E-74,-0.281283504,0.724,0.929,2.94E-69,ALM,L5 IT vs L6 CT,Glut,Glut ALM L5 IT vs L6 CT,1,,,,,,,,
2310061I04Rik,1.74E-30,-0.254657764,0.995,0.994,6.13E-26,ALM,L5 IT vs L6 CT,Glut,Glut ALM L5 IT vs L6 CT,1,,,,,,,,
2810468N07Rik,8.76E-61,-0.291309547,0.692,0.926,3.08E-56,ALM,L5 IT vs L6 CT,Glut,Glut ALM L5 IT vs L6 CT,1,,,,,,,,
3110035E14Rik,8.92E-197,-1.05115163,1,1,3.14E-192,ALM,L5 IT vs L6 CT,Glut,Glut ALM L5 IT vs L6 CT,1,,,,,,,,
4930447M23Rik,8.82E-59,0.256442382,0.901,0.497,3.11E-54,ALM,L5 IT vs L6 CT,Glut,Glut ALM L5 IT vs L6 CT,1,,,,,,,,
6330403A02Rik,2.99E-179,0.559480149,0.988,0.317,1.05E-174,ALM,L5 IT vs L6 CT,Glut,Glut ALM L5 IT vs L6 CT,1,,,,,,,,
6330403K07Rik,2.22E-80,0.458995995,1,1,7.83E-76,ALM,L5 IT vs L6 CT,Glut,Glut ALM L5 IT vs L6 CT,1,,,,,,,,
6430548M08Rik,2.42E-59,0.275397404,0.985,0.8,8.53E-55,ALM,L5 IT vs L6 CT,Glut,Glut ALM L5 IT vs L6 CT,1,,,,,,,,
9430020K01Rik,1.16E-38,-0.261093711,0.985,0.991,4.08E-34,ALM,L5 IT vs L6 CT,Glut,Glut ALM L5 IT vs L6 CT,1,,,,,,,,
9430021M05Rik,4.03E-134,0.25736628,0.851,0.057,1.42E-129,ALM,L5 IT vs L6 CT,Glut,Glut ALM L5 IT vs L6 CT,1,,,,,,,,
A330076H08Rik,2.41E-51,-0.303177984,0.958,0.963,8.49E-47,ALM,L5 IT vs L6 CT,Glut,Glut ALM L5 IT vs L6 CT,1,,,,,,,,
A830018L16Rik,1.01E-63,-0.329430205,0.988,1,3.55E-59,ALM,L5 IT vs L6 CT,Glut,Glut ALM L5 IT vs L6 CT,1,,,,,,,,
Acot7,7.71E-72,0.271599546,1,1,2.72E-67,ALM,L5 IT vs L6 CT,Glut,Glut ALM L5 IT vs L6 CT,1,,,,,,,,
Acsl5,4.14E-72,0.37954022,0.994,0.834,1.46E-67,ALM,L5 IT vs L6 CT,Glut,Glut ALM L5 IT vs L6 CT,1,,,,,,,,
Adcy1,8.71E-112,-0.536094433,1,1,3.07E-107,ALM,L5 IT vs L6 CT,Glut,Glut ALM L5 IT vs L6 CT,1,,,1,,,,,
Adcyap1,1.15E-172,0.884902195,0.927,0.034,4.07E-168,ALM,L5 IT vs L6 CT,Glut,Glut ALM L5 IT vs L6 CT,1,,,1,,,,,
Adk,9.03E-141,0.525008539,0.999,0.957,3.18E-136,ALM,L5 IT vs L6 CT,Glut,Glut ALM L5 IT vs L6 CT,1,,1,,,,,,
Adora1,1.56E-43,-0.292806428,0.99,0.997,5.49E-39,ALM,L5 IT vs L6 CT,Glut,Glut ALM L5 IT vs L6 CT,1,,,1,,,,,
AI593442,1.26E-65,0.404974261,1,0.997,4.43E-61,ALM,L5 IT vs L6 CT,Glut,Glut ALM L5 IT vs L6 CT,1,,,,,,,,
Aig1,1.94E-68,-0.286305419,1,1,6.82E-64,ALM,L5 IT vs L6 CT,Glut,Glut ALM L5 IT vs L6 CT,1,,,,,,,,
Ajap1,2.71E-122,0.280600463,0.981,0.54,9.53E-118,ALM,L5 IT vs L6 CT,Glut,Glut ALM L5 IT vs L6 CT,1,,,,,,,,
Ak5,4.00E-73,0.508080144,0.993,0.914,1.41E-68,ALM,L5 IT vs L6 CT,Glut,Glut ALM L5 IT vs L6 CT,1,,,,,,,,
Akap5,2.68E-91,0.329473842,1,0.994,9.44E-87,ALM,L5 IT vs L6 CT,Glut,Glut ALM L5 IT vs L6 CT,1,,,1,,,,,
Akap7,3.20E-76,-0.381285442,0.923,0.983,1.13E-71,ALM,L5 IT vs L6 CT,Glut,Glut ALM L5 IT vs L6 CT,1,,,1,,,,,
Aldoc,1.21E-11,-0.43427134,0.642,0.72,4.25E-07,ALM,L5 IT vs L6 CT,Glut,Glut ALM L5 IT vs L6 CT,1,,,,,,,,
Ano3,1.92E-64,-0.408388335,1,1,6.75E-60,ALM,L5 IT vs L6 CT,Glut,Glut ALM L5 IT vs L6 CT,1,,,,,,,,
Ano4,9.53E-131,-0.262673273,0.254,0.8,3.36E-126,ALM,L5 IT vs L6 CT,Glut,Glut ALM L5 IT vs L6 CT,1,,,,,,,,
Anxa7,8.10E-37,-0.292635058,0.975,0.994,2.85E-32,ALM,L5 IT vs L6 CT,Glut,Glut ALM L5 IT vs L6 CT,1,,,,,,,,
Ap1s2,1.12E-97,-0.513210918,0.713,0.937,3.95E-93,ALM,L5 IT vs L6 CT,Glut,Glut ALM L5 IT vs L6 CT,1,,,,,,,,
Ap3m2,1.35E-88,0.465875355,0.998,0.969,4.77E-84,ALM,L5 IT vs L6 CT,Glut,Glut ALM L5 IT vs L6 CT,1,,,,,,,,
Apba2,1.01E-58,0.318343115,1,0.977,3.54E-54,ALM,L5 IT vs L6 CT,Glut,Glut ALM L5 IT vs L6 CT,1,,,1,,,,,
Aplp2,7.61E-60,0.315738031,1,1,2.68E-55,ALM,L5 IT vs L6 CT,Glut,Glut ALM L5 IT vs L6 CT,1,,,,,,,,
Arhgap15,1.43E-111,0.520332984,0.996,0.629,5.05E-107,ALM,L5 IT vs L6 CT,Glut,Glut ALM L5 IT vs L6 CT,1,,,,,,,,
Arhgap25,3.83E-141,-0.529545877,0.342,0.923,1.35E-136,ALM,L5 IT vs L6 CT,Glut,Glut ALM L5 IT vs L6 CT,1,,,,,,,,
Arhgef3,8.59E-36,-0.251367731,0.848,0.951,3.03E-31,ALM,L5 IT vs L6 CT,Glut,Glut ALM L5 IT vs L6 CT,1,,,,,,,,
Arl6ip5,1.83E-80,0.312522143,1,1,6.44E-76,ALM,L5 IT vs L6 CT,Glut,Glut ALM L5 IT vs L6 CT,1,,,,,,,,
Arpc5,5.84E-68,-0.379721184,0.999,1,2.05E-63,ALM,L5 IT vs L6 CT,Glut,Glut ALM L5 IT vs L6 CT,1,,,,,,,,
Arpp21,4.05E-129,0.619563837,1,1,1.43E-124,ALM,L5 IT vs L6 CT,Glut,Glut ALM L5 IT vs L6 CT,1,,,,,,,,
Arxes2,5.16E-67,-0.303625765,0.99,1,1.82E-62,ALM,L5 IT vs L6 CT,Glut,Glut ALM L5 IT vs L6 CT,1,,,,,,,,
Astn1,3.18E-38,0.252206097,0.995,0.951,1.12E-33,ALM,L5 IT vs L6 CT,Glut,Glut ALM L5 IT vs L6 CT,1,1,,,,,,,
Atf6,1.01E-63,-0.349168789,0.898,0.974,3.57E-59,ALM,L5 IT vs L6 CT,Glut,Glut ALM L5 IT vs L6 CT,1,,,,,,,,
Atp11b,4.60E-37,0.272419606,0.983,0.92,1.62E-32,ALM,L5 IT vs L6 CT,Glut,Glut ALM L5 IT vs L6 CT,1,,,,,,,,
Atp1a1,9.48E-25,0.285717439,1,1,3.34E-20,ALM,L5 IT vs L6 CT,Glut,Glut ALM L5 IT vs L6 CT,1,,,,,,,,
Atp1a3,1.01E-16,-0.253849744,1,1,3.57E-12,ALM,L5 IT vs L6 CT,Glut,Glut ALM L5 IT vs L6 CT,1,,,,,,,,
Atp1b2,2.93E-194,0.742871388,0.99,0.16,1.03E-189,ALM,L5 IT vs L6 CT,Glut,Glut ALM L5 IT vs L6 CT,1,1,,,,,,,
Atp2b1,2.84E-119,-0.489276174,1,1,1.00E-114,ALM,L5 IT vs L6 CT,Glut,Glut ALM L5 IT vs L6 CT,1,,,,,,,,
Atp2b4,2.89E-52,-0.389855261,0.781,0.929,1.02E-47,ALM,L5 IT vs L6 CT,Glut,Glut ALM L5 IT vs L6 CT,1,,,,,,,,
Atp5b,4.23E-82,-0.256225495,1,1,1.49E-77,ALM,L5 IT vs L6 CT,Glut,Glut ALM L5 IT vs L6 CT,1,,,,,,,,
Atp6v1g2,7.24E-46,-0.301035236,1,1,2.55E-41,ALM,L5 IT vs L6 CT,Glut,Glut ALM L5 IT vs L6 CT,1,,,,,,,,
Atp8a1,5.83E-41,0.254762592,0.998,0.994,2.05E-36,ALM,L5 IT vs L6 CT,Glut,Glut ALM L5 IT vs L6 CT,1,,,,,,,,
B2m,3.24E-109,0.603281551,1,0.994,1.14E-104,ALM,L5 IT vs L6 CT,Glut,Glut ALM L5 IT vs L6 CT,1,,,,,,,,
B3galt2,1.56E-152,-0.837196852,0.965,1,5.49E-148,ALM,L5 IT vs L6 CT,Glut,Glut ALM L5 IT vs L6 CT,1,,,,,,,,
B4galt2,2.20E-89,0.34984483,0.985,0.714,7.73E-85,ALM,L5 IT vs L6 CT,Glut,Glut ALM L5 IT vs L6 CT,1,,,,,,,,
Baiap2,2.34E-67,-0.30629583,1,1,8.22E-63,ALM,L5 IT vs L6 CT,Glut,Glut ALM L5 IT vs L6 CT,1,,,1,,,,,
Bcl11a,3.01E-66,-0.299261223,0.974,1,1.06E-61,ALM,L5 IT vs L6 CT,Glut,Glut ALM L5 IT vs L6 CT,1,,,,,,,,
Bcl11b,9.15E-294,-0.50720055,0.185,0.983,3.22E-289,ALM,L5 IT vs L6 CT,Glut,Glut ALM L5 IT vs L6 CT,1,,,,,,,,
Bdnf,2.57E-120,0.785403757,0.952,0.451,9.05E-116,ALM,L5 IT vs L6 CT,Glut,Glut ALM L5 IT vs L6 CT,1,,,1,,,,,
Bend6,4.93E-34,-0.251595873,1,1,1.73E-29,ALM,L5 IT vs L6 CT,Glut,Glut ALM L5 IT vs L6 CT,1,,,,,,,,
Bhlhe40,8.04E-92,0.451046923,0.988,0.594,2.83E-87,ALM,L5 IT vs L6 CT,Glut,Glut ALM L5 IT vs L6 CT,1,,,,,,,,
Bin1,2.45E-60,0.337370126,0.996,0.986,8.61E-56,ALM,L5 IT vs L6 CT,Glut,Glut ALM L5 IT vs L6 CT,1,,,,,,,,
Blmh,7.66E-69,-0.3685197,0.897,0.974,2.70E-64,ALM,L5 IT vs L6 CT,Glut,Glut ALM L5 IT vs L6 CT,1,,,,,,,,
Bmp1,6.84E-151,0.322277466,0.917,0.126,2.41E-146,ALM,L5 IT vs L6 CT,Glut,Glut ALM L5 IT vs L6 CT,1,,,,,,,,
Bok,3.05E-170,0.70930805,0.995,0.486,1.07E-165,ALM,L5 IT vs L6 CT,Glut,Glut ALM L5 IT vs L6 CT,1,,,,,,,,
Brinp1,4.78E-70,0.44613272,1,0.989,1.68E-65,ALM,L5 IT vs L6 CT,Glut,Glut ALM L5 IT vs L6 CT,1,,,,,,,,
Brinp3,1.64E-95,0.282213505,0.757,0.123,5.76E-91,ALM,L5 IT vs L6 CT,Glut,Glut ALM L5 IT vs L6 CT,1,,,,,,,,
Brk1,2.01E-73,-0.291959629,1,1,7.08E-69,ALM,L5 IT vs L6 CT,Glut,Glut ALM L5 IT vs L6 CT,1,,,,,,,,
C1ql3,3.59E-189,0.423654165,0.973,0.043,1.26E-184,ALM,L5 IT vs L6 CT,Glut,Glut ALM L5 IT vs L6 CT,1,,,,,,,,
C1qtnf4,3.73E-56,0.301180913,1,1,1.31E-51,ALM,L5 IT vs L6 CT,Glut,Glut ALM L5 IT vs L6 CT,1,,,,,,,,
C730002L08Rik,6.54E-49,0.292084287,0.993,0.906,2.30E-44,ALM,L5 IT vs L6 CT,Glut,Glut ALM L5 IT vs L6 CT,1,,,,,,,,
Cacna1e,3.90E-58,-0.332614,0.994,1,1.37E-53,ALM,L5 IT vs L6 CT,Glut,Glut ALM L5 IT vs L6 CT,1,,,,,,,,
Cacna2d1,4.47E-40,0.2584524,0.999,0.983,1.58E-35,ALM,L5 IT vs L6 CT,Glut,Glut ALM L5 IT vs L6 CT,1,,,,,,,,
Cacna2d3,1.48E-190,0.739617454,0.99,0.114,5.20E-186,ALM,L5 IT vs L6 CT,Glut,Glut ALM L5 IT vs L6 CT,1,,,,,,,,
Cacng3,1.35E-121,0.535585814,1,0.986,4.77E-117,ALM,L5 IT vs L6 CT,Glut,Glut ALM L5 IT vs L6 CT,1,,,1,,,,,
Cadm1,6.47E-27,0.252273582,0.999,0.997,2.28E-22,ALM,L5 IT vs L6 CT,Glut,Glut ALM L5 IT vs L6 CT,1,1,,,,,,,
Cadm2,1.82E-89,0.417015867,1,1,6.40E-85,ALM,L5 IT vs L6 CT,Glut,Glut ALM L5 IT vs L6 CT,1,,,,,,,,
Calb1,8.71E-41,0.714531367,0.498,0.149,3.07E-36,ALM,L5 IT vs L6 CT,Glut,Glut ALM L5 IT vs L6 CT,1,,,1,,,,,
Caln1,1.06E-76,-0.41931645,0.869,0.963,3.73E-72,ALM,L5 IT vs L6 CT,Glut,Glut ALM L5 IT vs L6 CT,1,,,,,,,,
Camk1g,2.61E-152,0.563852889,0.973,0.323,9.18E-148,ALM,L5 IT vs L6 CT,Glut,Glut ALM L5 IT vs L6 CT,1,,,,,,,,
Camk2d,2.18E-51,0.460657587,0.776,0.423,7.67E-47,ALM,L5 IT vs L6 CT,Glut,Glut ALM L5 IT vs L6 CT,1,,,1,,,,,
Camk2n1,1.40E-200,1.643092899,1,0.974,4.95E-196,ALM,L5 IT vs L6 CT,Glut,Glut ALM L5 IT vs L6 CT,1,,,,,,,,
Camk4,1.23E-59,0.403312568,1,1,4.35E-55,ALM,L5 IT vs L6 CT,Glut,Glut ALM L5 IT vs L6 CT,1,,,,,,,,
Car10,4.27E-97,0.469439457,1,0.98,1.50E-92,ALM,L5 IT vs L6 CT,Glut,Glut ALM L5 IT vs L6 CT,1,,,,,,,,
Car4,4.23E-151,0.434566852,0.863,0.031,1.49E-146,ALM,L5 IT vs L6 CT,Glut,Glut ALM L5 IT vs L6 CT,1,,,,,,,,
Cav2,6.26E-128,0.650603778,0.993,0.651,2.20E-123,ALM,L5 IT vs L6 CT,Glut,Glut ALM L5 IT vs L6 CT,1,,,,,,,,
Cbln4,1.20E-21,0.395892754,0.305,0.071,4.24E-17,ALM,L5 IT vs L6 CT,Glut,Glut ALM L5 IT vs L6 CT,1,,,,,,,,
Ccdc12,4.62E-172,-0.479135698,0.999,1,1.63E-167,ALM,L5 IT vs L6 CT,Glut,Glut ALM L5 IT vs L6 CT,1,,,,,,,,
Ccdc136,6.07E-110,0.46985585,0.998,0.871,2.14E-105,ALM,L5 IT vs L6 CT,Glut,Glut ALM L5 IT vs L6 CT,1,,,,,,,,
Ccdc85a,1.78E-127,0.396203912,0.969,0.431,6.28E-123,ALM,L5 IT vs L6 CT,Glut,Glut ALM L5 IT vs L6 CT,1,,,,,,,,
Cck,3.92E-197,1.916955274,1,0.817,1.38E-192,ALM,L5 IT vs L6 CT,Glut,Glut ALM L5 IT vs L6 CT,1,,,,,,,,
Ccl27a,1.98E-110,-0.434951523,1,1,6.97E-106,ALM,L5 IT vs L6 CT,Glut,Glut ALM L5 IT vs L6 CT,1,,,,,,,,
Ccnd2,4.95E-27,-0.251205924,0.901,0.989,1.74E-22,ALM,L5 IT vs L6 CT,Glut,Glut ALM L5 IT vs L6 CT,1,,,,,,,,
Cd47,1.26E-129,-0.42627953,1,1,4.45E-125,ALM,L5 IT vs L6 CT,Glut,Glut ALM L5 IT vs L6 CT,1,1,1,,,,,,
Cd83,6.52E-134,0.405885288,0.9,0.146,2.30E-129,ALM,L5 IT vs L6 CT,Glut,Glut ALM L5 IT vs L6 CT,1,,1,,,,,,
Cdh10,7.28E-162,0.640649978,0.997,0.594,2.57E-157,ALM,L5 IT vs L6 CT,Glut,Glut ALM L5 IT vs L6 CT,1,1,,,,,,,
Cdh12,1.21E-92,0.464582776,0.983,0.711,4.26E-88,ALM,L5 IT vs L6 CT,Glut,Glut ALM L5 IT vs L6 CT,1,1,,,,,,,
Cdh8,2.10E-137,0.641369781,0.941,0.374,7.38E-133,ALM,L5 IT vs L6 CT,Glut,Glut ALM L5 IT vs L6 CT,1,1,,,,,,,
Cdh9,7.33E-233,-0.506343796,0.17,0.92,2.58E-228,ALM,L5 IT vs L6 CT,Glut,Glut ALM L5 IT vs L6 CT,1,1,,,,,,,
Cdk14,9.01E-113,0.522608357,0.999,0.963,3.17E-108,ALM,L5 IT vs L6 CT,Glut,Glut ALM L5 IT vs L6 CT,1,,,,,,,,
Cdk18,8.40E-90,0.325252029,0.853,0.369,2.96E-85,ALM,L5 IT vs L6 CT,Glut,Glut ALM L5 IT vs L6 CT,1,,,,,,,,
Cdkn1a,7.70E-111,0.543462317,0.975,0.629,2.71E-106,ALM,L5 IT vs L6 CT,Glut,Glut ALM L5 IT vs L6 CT,1,,,,,,,,
Chgb,3.28E-117,-0.663091209,1,1,1.15E-112,ALM,L5 IT vs L6 CT,Glut,Glut ALM L5 IT vs L6 CT,1,,,,,,,,
Chrna4,3.53E-131,-0.393165254,0.673,0.997,1.24E-126,ALM,L5 IT vs L6 CT,Glut,Glut ALM L5 IT vs L6 CT,1,,,1,,,,,
Chrna5,0,-0.528200333,0.014,0.76,0,ALM,L5 IT vs L6 CT,Glut,Glut ALM L5 IT vs L6 CT,1,,,1,,,,,
Cib2,6.58E-61,0.254427397,0.987,0.869,2.32E-56,ALM,L5 IT vs L6 CT,Glut,Glut ALM L5 IT vs L6 CT,1,,,,,,,,
Cirbp,9.05E-66,0.257700609,0.994,0.963,3.19E-61,ALM,L5 IT vs L6 CT,Glut,Glut ALM L5 IT vs L6 CT,1,,,,,,,,
Ckb,1.77E-64,-0.282342836,1,1,6.23E-60,ALM,L5 IT vs L6 CT,Glut,Glut ALM L5 IT vs L6 CT,1,,,,,,,,
Clip1,2.80E-50,0.275117777,0.999,0.986,9.87E-46,ALM,L5 IT vs L6 CT,Glut,Glut ALM L5 IT vs L6 CT,1,,,,,,,,
Cnih3,9.35E-172,0.886539561,0.998,0.757,3.29E-167,ALM,L5 IT vs L6 CT,Glut,Glut ALM L5 IT vs L6 CT,1,,,,,,,,
Cnksr2,6.73E-52,0.306354597,1,0.994,2.37E-47,ALM,L5 IT vs L6 CT,Glut,Glut ALM L5 IT vs L6 CT,1,,,,,,,,
Cnr1,3.02E-162,0.85588627,0.995,0.671,1.06E-157,ALM,L5 IT vs L6 CT,Glut,Glut ALM L5 IT vs L6 CT,1,1,,1,,,,,
Cntn4,1.65E-63,0.312506069,0.988,0.734,5.82E-59,ALM,L5 IT vs L6 CT,Glut,Glut ALM L5 IT vs L6 CT,1,,,,,,,,
Cobl,2.48E-84,0.319032655,0.999,0.934,8.74E-80,ALM,L5 IT vs L6 CT,Glut,Glut ALM L5 IT vs L6 CT,1,,,,,,,,
Coch,8.53E-176,0.685276169,0.941,0.06,3.00E-171,ALM,L5 IT vs L6 CT,Glut,Glut ALM L5 IT vs L6 CT,1,,,,,,,,
Col12a1,1.98E-159,-0.365702699,0.375,0.966,6.98E-155,ALM,L5 IT vs L6 CT,Glut,Glut ALM L5 IT vs L6 CT,1,,,,,,,,
Col25a1,2.84E-121,0.454388447,0.96,0.383,9.98E-117,ALM,L5 IT vs L6 CT,Glut,Glut ALM L5 IT vs L6 CT,1,,,,,,,,
Col6a1,8.34E-291,-0.585824509,0.069,0.823,2.94E-286,ALM,L5 IT vs L6 CT,Glut,Glut ALM L5 IT vs L6 CT,1,,,,,,,,
Cox5a,2.79E-56,-0.271309525,1,1,9.83E-52,ALM,L5 IT vs L6 CT,Glut,Glut ALM L5 IT vs L6 CT,1,,,,,,,,
Cpe,1.20E-115,-0.397846501,1,1,4.23E-111,ALM,L5 IT vs L6 CT,Glut,Glut ALM L5 IT vs L6 CT,1,,,,,,,,
Cplx1,1.58E-50,-0.416464742,0.981,1,5.55E-46,ALM,L5 IT vs L6 CT,Glut,Glut ALM L5 IT vs L6 CT,1,,,1,,,,,
Cplx2,4.02E-188,-1.017350773,0.823,1,1.41E-183,ALM,L5 IT vs L6 CT,Glut,Glut ALM L5 IT vs L6 CT,1,,,1,,,,,
Cpne4,9.75E-179,0.718061888,0.971,0.126,3.43E-174,ALM,L5 IT vs L6 CT,Glut,Glut ALM L5 IT vs L6 CT,1,,,,,,,,
Cpne5,1.98E-149,0.537148366,0.995,0.509,6.96E-145,ALM,L5 IT vs L6 CT,Glut,Glut ALM L5 IT vs L6 CT,1,,,,,,,,
Cpne6,8.92E-136,0.954825535,0.968,0.586,3.14E-131,ALM,L5 IT vs L6 CT,Glut,Glut ALM L5 IT vs L6 CT,1,,,,,,,,
Cpne8,6.13E-78,0.324726695,0.99,0.711,2.16E-73,ALM,L5 IT vs L6 CT,Glut,Glut ALM L5 IT vs L6 CT,1,,,,,,,,
Cpne9,4.31E-176,0.896469532,0.998,0.369,1.52E-171,ALM,L5 IT vs L6 CT,Glut,Glut ALM L5 IT vs L6 CT,1,,,,,,,,
Crhr1,1.69E-163,0.293893813,0.925,0.063,5.94E-159,ALM,L5 IT vs L6 CT,Glut,Glut ALM L5 IT vs L6 CT,1,,,1,,,,,
Crip2,4.13E-65,-0.465683055,1,1,1.46E-60,ALM,L5 IT vs L6 CT,Glut,Glut ALM L5 IT vs L6 CT,1,,,,,,,,
Cryab,6.95E-109,-0.887173713,0.414,0.823,2.45E-104,ALM,L5 IT vs L6 CT,Glut,Glut ALM L5 IT vs L6 CT,1,,,,,,,,
Cspg5,1.05E-119,0.586111779,1,0.991,3.70E-115,ALM,L5 IT vs L6 CT,Glut,Glut ALM L5 IT vs L6 CT,1,,,1,,,,,
Ctsb,1.24E-108,-0.406827518,1,1,4.38E-104,ALM,L5 IT vs L6 CT,Glut,Glut ALM L5 IT vs L6 CT,1,,,,,,,,
Ctsz,1.94E-269,-0.745202868,0.183,0.969,6.82E-265,ALM,L5 IT vs L6 CT,Glut,Glut ALM L5 IT vs L6 CT,1,,,,,,,,
Ctxn1,1.23E-86,-0.38279443,1,1,4.34E-82,ALM,L5 IT vs L6 CT,Glut,Glut ALM L5 IT vs L6 CT,1,,,,,,,,
Cyp46a1,2.01E-102,0.543787857,1,0.991,7.08E-98,ALM,L5 IT vs L6 CT,Glut,Glut ALM L5 IT vs L6 CT,1,,,1,,,,,
Cyth2,2.72E-142,-0.520860338,1,1,9.59E-138,ALM,L5 IT vs L6 CT,Glut,Glut ALM L5 IT vs L6 CT,1,,,,,,,,
Dbn1,1.52E-57,0.280732561,0.998,0.971,5.36E-53,ALM,L5 IT vs L6 CT,Glut,Glut ALM L5 IT vs L6 CT,1,,,1,,,,,
Ddah1,3.43E-174,-0.696132744,0.559,0.994,1.21E-169,ALM,L5 IT vs L6 CT,Glut,Glut ALM L5 IT vs L6 CT,1,,,,,,,,
Ddit4l,1.73E-42,0.355283203,0.403,0.026,6.08E-38,ALM,L5 IT vs L6 CT,Glut,Glut ALM L5 IT vs L6 CT,1,,,,,,,,
Dgkb,4.13E-106,0.594436324,0.93,0.509,1.45E-101,ALM,L5 IT vs L6 CT,Glut,Glut ALM L5 IT vs L6 CT,1,,,1,,,,,
Dhrs7,1.49E-115,-0.415379368,0.918,0.994,5.26E-111,ALM,L5 IT vs L6 CT,Glut,Glut ALM L5 IT vs L6 CT,1,,,,,,,,
Diras2,2.27E-78,-0.520400228,0.998,1,7.99E-74,ALM,L5 IT vs L6 CT,Glut,Glut ALM L5 IT vs L6 CT,1,,,,,,,,
Dkkl1,5.91E-171,1.086691693,0.967,0.243,2.08E-166,ALM,L5 IT vs L6 CT,Glut,Glut ALM L5 IT vs L6 CT,1,,,,,,,,
Dnajc21,6.96E-164,0.702344546,0.998,0.82,2.45E-159,ALM,L5 IT vs L6 CT,Glut,Glut ALM L5 IT vs L6 CT,1,,,,,,,,
Dner,4.23E-67,0.298662283,0.762,0.306,1.49E-62,ALM,L5 IT vs L6 CT,Glut,Glut ALM L5 IT vs L6 CT,1,,,,,,,,
Dock4,1.06E-85,0.310576401,0.961,0.56,3.72E-81,ALM,L5 IT vs L6 CT,Glut,Glut ALM L5 IT vs L6 CT,1,,,,,,,,
Dok5,9.44E-81,-0.329517298,0.883,0.966,3.32E-76,ALM,L5 IT vs L6 CT,Glut,Glut ALM L5 IT vs L6 CT,1,,,,,,,,
Dpp6,8.45E-102,0.341272528,0.978,0.691,2.98E-97,ALM,L5 IT vs L6 CT,Glut,Glut ALM L5 IT vs L6 CT,1,,,,,,,,
